[SWEET 16]

    IDENTIFIER      THICKNESS    UNITS    FLAGS    SU #
 W14                  0.498       IN      M--G--   03  
 W15                  0.370       IN      M--G--   03  
 W16                  0.333       IN      M--G--   03  
 X01                  0.487       IN      M--G--   03  
 X02                  0.483       IN      M--G--   03  
 X03                  0.482       IN      M--G--   03  
 X04                  0.479       IN      M--G--   03  
 X05                  0.479       IN      M--G--   03  
 X06                  0.480       IN      M--G--   03  
 X07                  0.478       IN      M--G--   03  
 X08                  0.489       IN      M--G--   03  
 X09                  0.474       IN      M--G--   03  
 X10                  0.504       IN      M--G--   03  
 X11                  0.502       IN      M--G--   03  
 X12                  0.498       IN      M--G--   03  
 X13                  0.497       IN      M--G--   03  
 X14                  0.326       IN      M--G--   03  
 X15                  0.376       IN      M--G--   03  
 X16                  0.335       IN      M--G--   03  
 Y01                  0.483       IN      M--G--   03  
 Y02                  0.484       IN      M--G--   03  
 Y03                  0.481       IN      M--G--   03  
 Y04                  0.479       IN      M--G--   03  
 Y05                  0.475       IN      M--G--   03  
 Y06                  0.488       IN      M--G--   03  
 Y07                  0.484       IN      M--G--   03  
 Y08                  0.481       IN      M--G--   03  
 Y09                  0.283       IN      M--G--   03  
 Y10                  0.503       IN      M--G--   03  
 Y11                  0.504       IN      M--G--   03  
 Y12                  0.503       IN      M--G--   03  
 Y13                  0.505       IN      M--G--   03  
 Y14                  0.425       IN      M--G--   03  
 Y15                  0.426       IN      M--G--   03  
 Y16                  0.350       IN      M--G--   03  
 OK

 SU #  VEL(/uS) DIFF   LO-ALM  HI-ALM  EXT-BLANK  UNITS  TRANSDUCER  GAIN dB
 01    0.2260   0.000  0.000   0.000     9.000     IN    D790/791       51 
 02    0.2333   0.000  0.000   25.000    9.000     IN    D790/791       51 
 03    0.2333   0.000  0.000   25.000    9.000     IN    D790/791       47 
 OK

CODE     COMMENT
 OK
Filename: M3-108-3-S3-2B-N01.txt
Operator: IHP
Location: B COND
Date: 
Time: 
Probe ID: 
Comments: 





